epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25427,0.48448,2.49591,1.09288,0.10984,0.33333,0.08571,0.06509,0.25795,2.90538,0.86367,2e-05,2e-05,2e-05
2,9.50584,0.49941,2.22599,1.11226,0.10442,0.25,0.10774,0.07756,0.24273,2.90715,0.84084,5.9406e-05,5.9406e-05,5.9406e-05
3,10.6119,0.53548,2.73079,1.15484,0.10985,0.25,0.10826,0.07963,0.24537,2.88414,0.8522,9.802e-05,9.802e-05,9.802e-05
4,11.7586,0.63975,2.16272,1.24816,0.96164,1,0.995,0.95637,0.25823,2.87518,0.79834,0.000135842,0.000135842,0.000135842
5,13.2622,0.40663,0.9431,1.01194,1,1,0.995,0.97619,0.27894,3.79785,0.79786,0.000172872,0.000172872,0.000172872
6,14.7666,0.44741,0.6417,0.99399,1,1,0.995,0.98493,0.23687,5.49357,0.78159,0.00020911,0.00020911,0.00020911
7,15.9877,0.3652,0.69033,0.90434,1,1,0.995,0.9124,0.3466,3.71868,0.87979,0.000244556,0.000244556,0.000244556
8,16.9187,0.45612,0.67339,1.02332,1,0.91667,0.98357,0.92706,0.31592,3.60889,0.86582,0.00027921,0.00027921,0.00027921
9,17.7032,0.43971,0.72422,1.02217,1,0.91667,0.995,0.94612,0.29182,2.47172,0.84052,0.000313072,0.000313072,0.000313072
10,18.4394,0.54051,0.976,1.10608,0.8067,1,0.995,0.92577,0.35061,1.07853,0.85948,0.000346142,0.000346142,0.000346142
11,19.1695,0.47377,0.67762,1.04273,1,1,0.995,0.86669,0.40326,2.06459,0.95661,0.00037842,0.00037842,0.00037842
12,19.9256,0.43131,0.54129,1.00702,1,1,0.995,0.91423,0.39449,2.20178,0.95709,0.000409906,0.000409906,0.000409906
13,20.6687,0.46225,0.58113,1.01688,1,1,0.995,0.73192,0.39688,2.7638,0.92942,0.0004406,0.0004406,0.0004406
14,21.3927,0.45093,0.54486,1.02217,0.90909,0.83333,0.91851,0.53549,0.96314,7.4747,1.52315,0.000470502,0.000470502,0.000470502
15,22.0944,0.49854,0.58831,1.03875,1,0.66667,0.995,0.86634,0.46667,2.9523,0.9301,0.000499612,0.000499612,0.000499612
16,22.8009,0.43967,0.58236,0.99591,0.90909,0.83333,0.95669,0.913,0.29448,2.99767,0.84302,0.00052793,0.00052793,0.00052793
17,23.5031,0.41718,0.54286,0.97369,1,0.75,0.9223,0.75478,0.40416,4.47445,0.946,0.000555456,0.000555456,0.000555456
18,24.224,0.49304,0.62369,1.04004,0.84615,0.91667,0.91232,0.69001,0.40661,7.38726,0.96901,0.00058219,0.00058219,0.00058219
19,24.9462,0.459,0.53441,1.01452,0.42308,0.91667,0.50421,0.46836,0.39468,12.6591,0.94174,0.000608132,0.000608132,0.000608132
20,25.6823,0.45453,0.52006,1.04756,0.44,0.91667,0.58401,0.46528,0.44184,16.1063,0.95317,0.000633282,0.000633282,0.000633282
21,26.4094,0.54517,0.53639,1.09735,0.34286,1,0.3481,0.21453,0.60625,32.6864,1.09058,0.00065764,0.00065764,0.00065764
22,27.1456,0.47513,0.49499,1.00553,0.15517,0.75,0.19258,0.067,1.63713,54.811,2.43477,0.000681206,0.000681206,0.000681206
23,27.8712,0.52427,0.56758,1.04828,0.04651,0.16667,0.02425,0.00624,2.98839,65.3578,6.55452,0.00070398,0.00070398,0.00070398
24,28.5928,0.50065,0.52182,1.00204,0.01117,0.33333,0.0093,0.00272,2.8514,270.756,21.233,0.000725962,0.000725962,0.000725962
25,29.3485,0.68509,0.72187,1.15581,0.01711,0.91667,0.01637,0.00675,2.45388,inf,37.0716,0.000747152,0.000747152,0.000747152
26,30.0558,0.56446,0.65437,1.06985,0.00972,1,0.01453,0.00483,2.66209,inf,95.3834,0.00076755,0.00076755,0.00076755
